FECHA;VENTAS;CIUDAD;TOTAL_VENTA
22/02/2024;875;BOGOTA;218.750,00 €
06/06/2024;182;IBAGUE;45.500,00 €
22/02/2024;886;PEREIRA;221.500,00 €
24/07/2024;620;MANIZALES;155.000,00 €
08/03/2024;734;ARMENIA;183.500,00 €
05/05/2024;399;ALEMANIA;99.750,00 €
10/03/2024;74;SUIZA;18.500,00 €
25/08/2024;880;ESPAÑA;220.000,00 €
16/04/2024;411;CALI;102.750,00 €
15/07/2024;984;BARRANQUILLA;246.000,00 €
15/06/2024;55;SAN ANDRES;13.750,00 €
13/08/2024;441;BOGOTA;110.250,00 €
21/02/2024;236;ARMENIA;59.000,00 €
06/02/2024;170;SANTANDER;42.500,00 €
09/04/2024;278;CUCUTA;69.500,00 €
14/01/2024;59;NARIÑO;14.750,00 €
28/05/2024;102;PUTUMUYO;25.500,00 €
12/07/2024;760;BOGOTA;190.000,00 €
17/08/2024;914;IBAGUE;228.500,00 €
09/02/2024;138;PEREIRA;34.500,00 €
01/03/2024;634;MANIZALES;158.500,00 €
03/03/2024;191;ARMENIA;47.750,00 €
25/05/2024;383;ALEMANIA;95.750,00 €
02/03/2024;21;SUIZA;5.250,00 €
06/07/2024;114;ESPAÑA;28.500,00 €
28/07/2024;386;CALI;96.500,00 €
11/02/2024;317;BARRANQUILLA;79.250,00 €
29/03/2024;281;SAN ANDRES;70.250,00 €
08/08/2024;811;BOGOTA;202.750,00 €
30/04/2024;913;ARMENIA;228.250,00 €
29/02/2024;158;SANTANDER;39.500,00 €
19/04/2024;231;CUCUTA;57.750,00 €
03/01/2024;909;NARIÑO;227.250,00 €
16/08/2024;37;PUTUMUYO;9.250,00 €
27/06/2024;671;BOGOTA;167.750,00 €
25/01/2024;446;IBAGUE;111.500,00 €
04/03/2024;512;PEREIRA;128.000,00 €
18/04/2024;517;MANIZALES;129.250,00 €
07/05/2024;997;ARMENIA;249.250,00 €
02/05/2024;454;ALEMANIA;113.500,00 €
16/04/2024;924;SUIZA;231.000,00 €
10/04/2024;896;ESPAÑA;224.000,00 €
05/04/2024;945;CALI;236.250,00 €
13/01/2024;896;BARRANQUILLA;224.000,00 €
04/03/2024;222;SAN ANDRES;55.500,00 €
16/02/2024;340;BOGOTA;85.000,00 €
06/03/2024;398;ARMENIA;99.500,00 €
15/02/2024;259;SANTANDER;64.750,00 €
19/08/2024;466;CUCUTA;116.500,00 €
20/02/2024;749;NARIÑO;187.250,00 €
12/05/2024;699;PUTUMUYO;174.750,00 €
27/01/2024;434;BOGOTA;108.500,00 €
09/01/2024;420;IBAGUE;105.000,00 €
07/08/2024;156;PEREIRA;39.000,00 €
01/05/2024;620;MANIZALES;155.000,00 €
28/08/2024;409;ARMENIA;102.250,00 €
08/02/2024;835;ALEMANIA;208.750,00 €
02/08/2024;623;SUIZA;155.750,00 €
13/02/2024;109;ESPAÑA;27.250,00 €
06/07/2024;256;CALI;64.000,00 €
09/07/2024;957;BARRANQUILLA;239.250,00 €
06/07/2024;670;SAN ANDRES;167.500,00 €
18/08/2024;777;BOGOTA;194.250,00 €
03/07/2024;335;ARMENIA;83.750,00 €
14/05/2024;991;SANTANDER;247.750,00 €
15/01/2024;125;CUCUTA;31.250,00 €
10/08/2024;71;NARIÑO;17.750,00 €
07/08/2024;570;PUTUMUYO;142.500,00 €
28/08/2024;2;BOGOTA;500,00 €
23/08/2024;52;IBAGUE;13.000,00 €
14/05/2024;306;PEREIRA;76.500,00 €
21/02/2024;324;MANIZALES;81.000,00 €
16/06/2024;696;ARMENIA;174.000,00 €
25/04/2024;508;ALEMANIA;127.000,00 €
26/05/2024;253;SUIZA;63.250,00 €
29/03/2024;75;ESPAÑA;18.750,00 €
29/07/2024;554;CALI;138.500,00 €
01/03/2024;185;BARRANQUILLA;46.250,00 €
04/04/2024;13;SAN ANDRES;3.250,00 €
19/01/2024;219;BOGOTA;54.750,00 €
30/01/2024;612;ARMENIA;153.000,00 €
05/04/2024;682;SANTANDER;170.500,00 €
12/05/2024;158;CUCUTA;39.500,00 €
08/07/2024;398;NARIÑO;99.500,00 €
08/05/2024;297;PUTUMUYO;74.250,00 €
22/05/2024;504;BOGOTA;126.000,00 €
03/05/2024;71;IBAGUE;17.750,00 €
20/04/2024;264;PEREIRA;66.000,00 €
02/04/2024;882;MANIZALES;220.500,00 €
29/01/2024;673;ARMENIA;168.250,00 €
31/03/2024;797;ALEMANIA;199.250,00 €
26/05/2024;116;SUIZA;29.000,00 €
29/05/2024;501;ESPAÑA;125.250,00 €
